iso_date,year,year_quarter,year_month_str,Talabat Week,Weekday,Month Q,day_type_tlb
2-Jan-22,2022,2022-1,2022-01,02-Jan-22,Sun,1,Weekday
1-Jan-22,2022,2022-1,2022-01,26-Dec-21,Sat,1,Weekend
31-Dec-21,2021,2021-4,2021-12,26-Dec-21,Fri,4,Weekend
30-Dec-21,2021,2021-4,2021-12,26-Dec-21,Thu,4,Weekday
29-Dec-21,2021,2021-4,2021-12,26-Dec-21,Wed,4,Weekday
28-Dec-21,2021,2021-4,2021-12,26-Dec-21,Tue,4,Weekday
27-Dec-21,2021,2021-4,2021-12,26-Dec-21,Mon,4,Weekday
26-Dec-21,2021,2021-4,2021-12,26-Dec-21,Sun,4,Weekday
25-Dec-21,2021,2021-4,2021-12,19-Dec-21,Sat,4,Weekend
24-Dec-21,2021,2021-4,2021-12,19-Dec-21,Fri,4,Weekend
23-Dec-21,2021,2021-4,2021-12,19-Dec-21,Thu,3,Weekday
22-Dec-21,2021,2021-4,2021-12,19-Dec-21,Wed,3,Weekday
21-Dec-21,2021,2021-4,2021-12,19-Dec-21,Tue,3,Weekday
20-Dec-21,2021,2021-4,2021-12,19-Dec-21,Mon,3,Weekday
19-Dec-21,2021,2021-4,2021-12,19-Dec-21,Sun,3,Weekday
18-Dec-21,2021,2021-4,2021-12,12-Dec-21,Sat,3,Weekend
17-Dec-21,2021,2021-4,2021-12,12-Dec-21,Fri,3,Weekend
16-Dec-21,2021,2021-4,2021-12,12-Dec-21,Thu,2,Weekday
15-Dec-21,2021,2021-4,2021-12,12-Dec-21,Wed,2,Weekday
14-Dec-21,2021,2021-4,2021-12,12-Dec-21,Tue,2,Weekday
13-Dec-21,2021,2021-4,2021-12,12-Dec-21,Mon,2,Weekday
12-Dec-21,2021,2021-4,2021-12,12-Dec-21,Sun,2,Weekday
11-Dec-21,2021,2021-4,2021-12,05-Dec-21,Sat,2,Weekend
10-Dec-21,2021,2021-4,2021-12,05-Dec-21,Fri,2,Weekend
9-Dec-21,2021,2021-4,2021-12,05-Dec-21,Thu,2,Weekday
8-Dec-21,2021,2021-4,2021-12,05-Dec-21,Wed,2,Weekday
7-Dec-21,2021,2021-4,2021-12,05-Dec-21,Tue,1,Weekday
6-Dec-21,2021,2021-4,2021-12,05-Dec-21,Mon,1,Weekday
5-Dec-21,2021,2021-4,2021-12,05-Dec-21,Sun,1,Weekday
4-Dec-21,2021,2021-4,2021-12,28-Nov-21,Sat,1,Weekend
3-Dec-21,2021,2021-4,2021-12,28-Nov-21,Fri,1,Weekend
2-Dec-21,2021,2021-4,2021-12,28-Nov-21,Thu,1,Weekday
1-Dec-21,2021,2021-4,2021-12,28-Nov-21,Wed,1,Weekday
30-Nov-21,2021,2021-4,2021-11,28-Nov-21,Tue,4,Weekday
29-Nov-21,2021,2021-4,2021-11,28-Nov-21,Mon,4,Weekday
28-Nov-21,2021,2021-4,2021-11,28-Nov-21,Sun,4,Weekday
